Kingdom,Phylum,Class,Order,Family,Genus,Species
Viruses,Nucleocytoviricota,NA,Chitovirales,Poxviridae,Molluscipoxvirus,contagiosum virus
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,*Halobonum,*Halobonum
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,tibetensis
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus,agarilyticus-saccharolyticus
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus,hamelinensis
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus,qingdaonensis-thailandensis
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus,sediminicola
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halostagnicola,alkaliphila-bangensis
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloterrigena-Natronococcus,daqingensis-roseus
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,NA,NA
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,NA,sp754
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronococcus,amylolyticus
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,arcticum-bryantii
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,oralis-smithii
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,ruminantium
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,smithii
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,sp792
Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,conradii
Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,paludicola
Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,sp880
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,bavaricum-sinense
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,concilii
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,sp980
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,barkeri
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,horonobensis-siciliae
Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,marine metagenome,metagenome
Archaea,Miscellaneous Crenarchaeotic Group,NA,NA,NA,NA,sp1364
Archaea,Thaumarchaeota,Marine Group I,NA,NA,*Nitrosoarchaeum,koreensis-limnia
Archaea,Thaumarchaeota,Marine Group I,NA,NA,*Nitrosopelagicus,sp1528
Archaea,Thaumarchaeota,NA,NA,NA,*Nitrososphaera,sp1559
Archaea,Thaumarchaeota,NA,NA,NA,*Nitrososphaera,sp1566
Archaea,Thaumarchaeota,NA,NA,NA,NA,sp1561
Archaea,Thaumarchaeota,NA,NA,NA,NA,sp1562
Archaea,Thaumarchaeota,NA,NA,NA,NA,sp1562-sp1564
Archaea,Thaumarchaeota,NA,NA,NA,NA,sp1564
Archaea,Thaumarchaeota,NA,NA,NA,NA,sp1567
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,*Koribacter,versatilis
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Acidobacterium,sp1686
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Acidobacterium,sp1687
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Acidobacterium,sp1688
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Acidobacterium,sp1689
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Acidobacterium,sp1698
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Bryocella,elongata-sp1802
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Bryocella,sp1700
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Bryocella,sp1701
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Bryocella,sp1703
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Bryocella,sp1704
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Edaphobacter,aggregans-modestus
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Edaphobacter,sp1722
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Edaphobacter,sp1723
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Granulicella,NA
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Granulicella,aggregans
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Granulicella,pectinivorans
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Granulicella,sp1736
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Granulicella,sp1738
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1760
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1772-sp1900
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1774-sp1849
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1775
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1784-sp1939
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1791
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1793
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1795
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1795-sp1802-sp1920
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1797
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1801
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1802
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1802-sp1920
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1809
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1814
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1816
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1827-sp1872
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1828
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1830
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1842-sp1908
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1848
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1848-sp1854
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1853
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1854
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1859
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1871
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1874
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1881
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1893
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1948
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1957
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1961
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Telmatobacter,sp1743
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Telmatobacter,sp1745
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Terriglobus,aquaticus
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Terriglobus,roseus
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Terriglobus,roseus-saanensis-tenax
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Terriglobus,roseus-tenax
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter-Bryobacter,sp2512-sp2708
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter-Bryobacter,sp2567-sp2597-sp2711
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2604
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2606-sp2635
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2606-sp2660
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2607
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2612-sp2660-sp2712
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2613
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2616
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2619
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2623
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2624
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2631
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2631-usitatus
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2634
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2635
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2646
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2647
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2650-sp2707
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2651
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2651-sp2658
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2651-sp2658-sp2703
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2653
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2662
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2667
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2673
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2675
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2675-sp2693
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2678
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2685
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2698
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2709
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2710
Bacteria,Acidobacteria,Acidobacteria,NA,NA,*Solibacter,sp2710-usitatus
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,NA
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,fastidiosa
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2964
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2965
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2968-sp2995
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2969-sp3033
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2972
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2976-sp2977-sp3017
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2977-sp3012-sp3017
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2977-sp3017
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2978
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2979-sp3026-sp3075
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2982
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2982-sp3044
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2984-sp3082
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2985
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2985-sp3001
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2985-sp3077
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2988
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2991
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp2995
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3003
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3006
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3008
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3009
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3012
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3013
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3016
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3020
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3023
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3026
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3027-sp3072
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3028
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3030
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3033
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3034
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3036
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3038
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3040
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3044
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3045
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3047
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3049
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3050
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3053-sp3060
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3054-sp3078
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3059
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3062
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3066
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3072
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3072-sp3073
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3072-sp3073-sp3077
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3077
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3080
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3082
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Blastocatella,sp3083
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2424
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2429
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2429-sp2440
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2431
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2432
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2433
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2433-sp2443-sp2532
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2436
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2438
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2440
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2442
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2444
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2447
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2447-sp2522
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2447-sp2550
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2452-sp2505
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2454
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2456
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2459
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2460
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2460-sp2485
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2463
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2468
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2470
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2475
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2479
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2481
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2485
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2489
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2492
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2494
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2496
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2497
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2497-sp2597
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2500
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2500-sp2550
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2501
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2509-sp2518
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2511
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2513
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2515
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2516
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2516-sp2532-sp2554
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2516-sp2554
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2517
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2519
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2521
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2523
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2527
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2530
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2532-sp2554
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2535
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2539
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2542
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2543
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2550
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2550-sp2565
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2557
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2566
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2567
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2567-sp2597
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2568
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2583
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2586
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2596
Bacteria,Acidobacteria,Acidobacteria,NA,NA,Bryobacter,sp2599
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,bacterium
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2069
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2093
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2116
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2271
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2290
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2297
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2303
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2307
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2318
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2345
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2346
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2347
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2359
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2401
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2412
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2417
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2726-sp2747-sp2778
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2726-sp2778
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2748
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2759
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2764-sp2778
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2778
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2779
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2787
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2791
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2793
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2794
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2795
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2814
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2824
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2830
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2833
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2854-sp2869
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2876
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2893
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2920
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2931
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2933
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2936
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2949
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp2954
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3103-sp3109-sp3129
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3104
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3105
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3132
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3143
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3143-sp3286
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3143-sp3286-sp3476
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3147
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3156
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3172
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3193
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3206
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3231-sp3359
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3233
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3233-sp3435-sp3464
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3236
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3236-sp3351
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3236-sp3447
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3243
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3254
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3260
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3262
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3270
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3270-sp3517
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3270-sp3601
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3277
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3279-sp3285
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3284
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3286
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3291
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3313
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3314
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3314-sp3375-sp3568
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3315
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3317
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3320
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3329-sp3547
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3336-sp3464-sp3601
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3338
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3338-sp3536
Bacteria,Acidobacteria,Acidobacteria,NA,NA,NA,sp3348
