#OTU ID	ESSE.222.0216	ESSE.222.0166	ESSE.222.0183	ESSE.222.1024	ESSE.222.1016	ESSE.222.0182	ESSE.222.0214	ESSE.222.0215	ESSE.222.0185	ESSE.222.1019	ESSE.222.0187	ESSE.222.0188	ESSE.222.0181	ESSE.222.0212	ESSE.222.0170	ESSE.222.0213	ESSE.222.0168	ESSE.222.0220	ESSE.222.0169	ESSE.222.0221	ESSE.222.0186	ESSE.222.0218	ESSE.222.0189	ESSE.222.0219	ESSE.222.0171	ESSE.222.0222	ESSE.222.0167	ESSE.222.0217	ESSE.222.0012	ESSE.222.0016	ESSE.222.0040
None;Other;Other;Other;Other;Other;Other	0.00103475847796	0.000688259109312	0.0	0.00104585236968	0.0	0.0	0.0	0.0	0.0	0.00357029873006	0.0	0.00332684702781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000675044137501	0.0	0.0	0.0	0.00191239413532	0.0	0.00123360602519	0.0	0.0	0.000603913358563
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__gerencseriae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024961752154
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__graevenitzii	0.0	0.00323886639676	0.0	0.0	0.0	0.0	0.0	0.000539811066127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__naeslundii	0.0	0.0	0.00145715951039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__odontolyticus	0.0	0.0136032388664	0.0	0.0	0.000699790062981	0.0	0.0	0.00164942270205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00354111972648	0.0	0.0	0.00206431123462	0.0	0.0	0.0	0.0	0.0	0.0	0.000559060777893	0.0	0.0	0.0	0.000644174249134
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__oris	0.0	0.0	0.0	0.0	0.0	0.00183267271875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00421271139874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__oris-viscosus	0.0	0.00210526315789	0.0	0.0	0.00081028323082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00359712230216	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__sp4769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00177147918512
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__viscosus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00338952411081	0.0	0.0	0.0	0.00188275566966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__NA;s__sp4820	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00116756582656
