#OTU ID	ESSE.222.0236	ESSE.222.0239	ESSE.222.0246	ESSE.222.0224	ESSE.222.0237	ESSE.222.0225	ESSE.222.0227	ESSE.222.0234	ESSE.222.0238	ESSE.222.0233	ESSE.222.0232	ESSE.222.0226	ESSE.222.0283	ESSE.222.0281	ESSE.222.0288	ESSE.222.0260	ESSE.222.0284	ESSE.222.0287	ESSE.222.0279	ESSE.222.0282	ESSE.222.0278	ESSE.222.0286	ESSE.222.0276	ESSE.222.0289	ESSE.222.0290	ESSE.222.0291	ESSE.222.0292	ESSE.222.0293	ESSE.222.0294
None;Other;Other;Other;Other;Other;Other	0.0	0.0	0.0	0.000872427330769	0.0	0.00045682090717	0.000558791291453	0.0	0.0	0.0	0.000573343918144	0.000589759251848	0.000453720508167	0.000696378830084	0.000243259679708	0.0	0.0	0.000302326020823	0.000286229016888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Thaumarchaeota;c__NA;o__NA;f__NA;g__NA;s__sp1562	0.0	0.0	0.0	0.0	0.0	0.0	0.000279395645726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__Bryocella;s__sp1700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00036729755423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__Granulicella;s__sp1738	0.0	0.0	0.0	0.0	0.0	0.000532957725032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__NA;s__sp1802-sp1920	0.0	0.0	0.0	0.0	0.0	0.0	0.000365363536719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__NA;f__NA;g__Blastocatella;s__sp2985-sp3001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000283802959659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__NA;f__NA;g__NA;s__sp3502	0.0	0.0	0.0	0.0	0.0	0.0	0.00023641170023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__NA;s__sp4206	0.0	0.0	0.0	0.000237934726573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__NA;s__sp4252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000208673217741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__NA;s__sp4260	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000445976079465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
