#OTU ID	ESSE.222.0262
k__Bacteria;p__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Fannyhessea;s__Fannyhessea vaginae	0.000010
k__Bacteria;p__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Winkia;s__Winkia neuii	0.000043
k__Bacteria;p__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella vaginalis	0.000163
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium aurimucosum	0.006632
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium bouchesdurhonense	0.000026
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium genitalium	0.000005
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glucuronolyticum	0.001152
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium hadale	0.000558
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium minutissimum	0.000023
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium singulare	0.000216
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium sp BCW 4722	0.000002
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium urinapleomorphum	0.000030
k__Bacteria;p__Actinobacteria;o__Corynebacteriales;f__Lawsonellaceae;g__GGB2722;s__GGB2722 SGB3663	0.006739
k__Bacteria;p__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium sandarakinum	0.000180
k__Bacteria;p__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Brachybacterium;s__Brachybacterium sp P6 10 X1	0.000012
k__Bacteria;p__Actinobacteria;o__Micrococcales;f__Dermacoccaceae;g__Dermacoccus;s__Dermacoccus nishinomiyaensis	0.000095
k__Bacteria;p__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria;s__Kocuria indica	0.000026
k__Bacteria;p__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus flavus	0.000008
k__Bacteria;p__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus	0.000036
k__Bacteria;p__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	0.901214
k__Bacteria;p__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium granulosum	0.021573
k__Bacteria;p__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium namnetense	0.001798
k__Bacteria;p__Bacteroidetes;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas pasteri	0.000067
k__Bacteria;p__Bacteroidetes;o__OFGB2427;f__FGB2427;g__GGB6645;s__GGB6645 SGB9382	0.015517
k__Bacteria;p__Firmicutes;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus capitis	0.001178
k__Bacteria;p__Firmicutes;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	0.013299
k__Bacteria;p__Firmicutes;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus equorum	0.000017
k__Bacteria;p__Firmicutes;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus	0.000009
k__Bacteria;p__Firmicutes;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;s__Abiotrophia sp HMSC24B09	0.000015
k__Bacteria;p__Firmicutes;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis	0.000024
k__Bacteria;p__Firmicutes;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis	0.000157
k__Bacteria;p__Firmicutes;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	0.000026
k__Bacteria;p__Firmicutes;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus prevotii	0.000005
k__Bacteria;p__Firmicutes;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus senegalensis	0.000047
k__Bacteria;p__Firmicutes;o__Tissierellales;f__Peptoniphilaceae;g__Finegoldia;s__Finegoldia magna	0.000529
k__Bacteria;p__Firmicutes;o__Tissierellales;f__Peptoniphilaceae;g__GGB4812;s__GGB4812 SGB6657	0.000025
k__Bacteria;p__Firmicutes;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus;s__Peptoniphilus SGB6699	0.000104
k__Bacteria;p__Proteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__Lautropia mirabilis	0.000073
k__Bacteria;p__Proteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria sicca	0.000192
k__Bacteria;p__Proteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus parainfluenzae	0.000047
k__Bacteria;p__Proteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__Moraxella osloensis	0.000004
k__Bacteria;p__Proteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas campestris	0.000311
k__Eukaryota;p__Basidiomycota;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia globosa	0.001038
k__Eukaryota;p__Basidiomycota;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia restricta	0.026779
