#OTU ID	ESSE.222.0441	ESSE.222.0440	ESSE.222.0461	ESSE.222.0460	ESSE.222.0462	ESSE.222.0463	ESSE.222.0434	ESSE.222.0435	ESSE.222.0437	ESSE.222.0439	ESSE.222.0436	ESSE.222.0455	ESSE.222.0456	ESSE.222.0450	ESSE.222.0453	ESSE.222.0458	ESSE.222.0457	ESSE.222.0454	ESSE.222.0452	ESSE.222.0451
None;Other;Other;Other;Other;Other;Other	0.000118466471946	0.000744546843684	0.000238446303352	0.0	0.0	0.000376062583426	0.000353093335661	0.000148384464147	0.000622571849135	0.000152499016135	0.00014842920159	5.43446040749e-05	0.000740359525809	0.00029296796616	0.0	0.000221354690707	0.0	5.32573528433e-05	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__bavaricum-sinense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.6870490577e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Thaumarchaeota;c__Marine Group I;o__NA;f__NA;g__*Nitrosoarchaeum;s__koreensis-limnia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000144784150962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Thaumarchaeota;c__NA;o__NA;f__NA;g__NA;s__sp1562	0.000159316979513	0.0	0.000107057523954	0.0	0.0	0.0	0.0	0.0	0.000111001182404	5.41125541126e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__Acidobacterium;s__sp1686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.18946140982e-05	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__Acidobacterium;s__sp1687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.53386726768e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__Bryocella;s__sp1700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000281603857479	0.00021669059292	0.0	0.0	0.0	0.0	0.0	3.84033962567e-05	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__Bryocella;s__sp1703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.10225380466e-05	0.0	0.00021669059292	0.000120397794312	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__Edaphobacter;s__sp1722	0.0	0.0	0.0	0.0	0.0	0.0	6.74447944521e-05	0.0	0.0	0.0	0.0	0.0	0.000121888458517	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__Edaphobacter;s__sp1723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012640284587	6.42121569666e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__NA;g__Granulicella;s__aggregans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.84033962567e-05	0.0
