#OTU ID	ESSE.222.0386	ESSE.222.0390	ESSE.222.0389	ESSE.222.0387	ESSE.222.0391	ESSE.222.0392
None;Other;Other;Other;Other;Other;Other	4.44548621495e-05	0.000540228679324	0.000172494309791	0.000363786055506	0.000407732001701	6.52951777335e-05
k__Archaea;p__Thaumarchaeota;c__NA;o__NA;f__NA;g__NA;s__sp1562	0.0	0.000183572852198	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__NA;f__NA;g__Blastocatella;s__sp3040	0.0	0.0	0.0	0.0	5.69947959367e-05	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__NA;f__NA;g__NA;s__sp3317	0.0	0.0	0.0	6.70132207511e-05	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia;s__sp4316	0.0	0.0	0.0	5.26532448759e-05	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__dentalis-orihominis-sp4753	0.0	0.000666107206546	0.0	0.000162746393253	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__georgiae	0.0	0.00244414140355	0.0	0.000224972955379	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__georgiae-gerencseriae-sp4761	0.0	0.000146858281758	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__georgiae-sp4761	0.0	0.000110143711319	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__gerencseriae	0.0	0.0	0.0	0.000268052883004	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__graevenitzii	0.0	0.0	0.0	0.00134026441502	5.69947959367e-05	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__israelii	0.0	0.000340921011224	0.0	0.000253692907129	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__israelii-oricola	0.0	0.000550718556593	0.0	0.0	0.0	0.0
